judul,asal,person,sentence
Puteri Hijau,Sumatera Utara,Ma,Ujung mariam terlempar jauh hingga ke perbatasan Aceh sedang kan pangkal nya masih bisa kita temui di Istana Maimun Medan
Puteri Hijau,Sumatera Utara,ri Hijau,"Melihat keadaan yang tidak menguntungkan ini, akhirnya kerajaan deli mengaku kalah, dan Putri Hijau dibawa oleh pasukan sultan Aceh"
Puteri Hijau,Sumatera Utara,Mambang Jazid,"Mambang Jazid memberi persyaratan kepada sultan Aceh untuk tidak menyentuh Putri hijau sampai tiba d ikerajaan Aceh dan memasukkan putri hijau ke dalam peti kaca yang telah di siap kan Mambang Jazid, lalu saat tiba di daerah Jambu Air, putri hijau disuruh abangnya untuk membakar menyan dan menaburkan beras dan telur ke sungai lalu menyebutkan nama abang nya Mambang Jazid sebanyak 3 kali"
Puteri Hijau,Sumatera Utara,ri Hijau,Lalu pergi lah sultan Aceh beserta rombongan pasukannya menggunakan kapal berlayar di Sungai Deli (dahulu sungai Deli bisa di layari kapal) dan Putri Hijau dimasukkan ke dalam peti kaca
Puteri Hijau,Sumatera Utara,Mambang Jazid,"Saat tiba di daerah Jambu Air , putri hijau keluar dari peti kaca , lalu mengerjakan amanat yang diberikan abangnya kepadanya, yaitu menabur beras dan telur di sungai Deli lalu membakar menyan dan menyebut nama Mambang Jazid 3 kali"
Puteri Hijau,Sumatera Utara,Mambang Jazid,"”Mambang Jazid , Mambang Jazid ; mambang , jazid, datanglah abangku ,selamatkanlah adikmu ini dari genggaman sultan Aceh”"
Puteri Hijau,Sumatera Utara,ri Hijau,"Saat seperti itu , Putri Hijau kembali masuk ke dalam peti kaca"
Puteri Hijau,Sumatera Utara,Mambang Jazid,Tak lama muncul seekor naga dari sungai deli yang tak lain adalah jelmaan Mambang Jazid
Puteri Hijau,Sumatera Utara,ri Hijau,Peti kaca yang berisi Putri Hijau terlempar ke sungai deli dan terapung-apung
Puteri Hijau,Sumatera Utara,Mambang Jazid,Lalu naga jelmaan Mambang Jazid memasukan peti kaca berisi Putri Hijau ke dalam mulutnya dan membawa pergi ke laut
Puteri Hijau,Sumatera Utara,putri hijau,"Sampai sekarang tidak ada yang tau , apakah putri hijau masih hidup sebagai manusia"
Puteri Hijau,Sumatera Utara,Ma,Lagenda ini sampai sekarang masih dikenal dikalangan orang-orang Deli dan malahan juga dalam masyarakat Melayu di Malaysia
Puteri Hijau,Sumatera Utara,ri Hijau,"Di Deli Tua masih terdapat reruntuhan benteng dari Putri yang berasal dari zaman Putri Hijau, sedangkan sisa meriam, penjelmaan abang Putri Hijau, dapat dilihat di halaman Istana Maimoon, Medan hingga saat ini"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Anak perempuan keluarga itu bernama Seruni
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Jika sedang tidak bekerja di ladang, terkadang Seruni mengambil alih tugas untuk menjual hasil kebunnya ke pasar"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Penjualan hasil ladang digunakan oleh Seruni beserta ayah ibunya untuk memenuhi kebutuhan hidup sehari-hari
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Pada suatu hari, pergilah Seruni ditemani dengan anjing peliharaannya ke ladang milik keluarganya"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Sesampainya di ladang, Seruni tidak bekerja dan hanya duduk termenung sambil menikmati pemandangan Danau Toba"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Sementara itu, anjingnya yang bernama Toki ikut duduk di samping Seruni seakan memahami gejolak hati wanita ini"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Ternyata, hati Seruni sedang galau karena ia akan dijodohkan dengan laki-laki pilihan orang tuanya"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Seruni dan kekasihnya telah sama-sama mengucapkan janji untuk membawa hubungan mereka ke jenjang pernikahan
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Namun, Seruni juga tidak ingin mengecewakan kedua orang tuanya dan dianggap sebagai anak yang durhaka"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Toki yang duduk di samping Seruni sesekali menggonggong untuk mendapatkan perhatian dari wanita ini
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Namun, Seruni mengabaikan anjingnya dan masih sibuk dengan permasalahan hubungan asmaranya"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Jika Seruni memilih untuk menikahi pemuda pilihan orang tuanya, wanita ini berpikir ia tidak akan bisa hidup dengan bahagia"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Saya tidak sanggup hidup dengan beban seberat ini,” ratap Seruni"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Seruni kemudian bangkit dari duduknya dan berjalan ke arah Danau Toba
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Di tengah-tengah suasana hati dan pikirannya yang berkecamuk, Seruni berjalan mendekati tebing Danau Toba"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Dalam lubang itu, Seruni tidak bisa melihat apa-apa karena minimnya cahaya"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Ketika Seruni meraba-raba batu di sekelilingnya, ia merasa bahwa batu-batu itu bergerak seakan hendak mengimpitnya"
Batu Gantung Danau Toba,Sumatera Utara,Toki,Toki yang berada di mulut lubang menggonggong beberapa kali memanggil majikannya yang telah jatuh
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Seruni yang mendengar gonggongan anjingnya meminta Toki untuk mencari bantuan
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Sayangya, dinding-dinding batu cadas itu terus bergerak mengurung Seruni"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,“Parapat! Tolong parapat batu! Parapat!” teriak Seruni dalam ketakutan dan kepanikannya
Batu Gantung Danau Toba,Sumatera Utara,Toki,"Toki yang mendengar teriakan majikannya, terus menggonggong sembari menggaruk-garuk tanak di mulut lubang"
Batu Gantung Danau Toba,Sumatera Utara,Toki,"Seolah mengerti kalau ia tidak mungkin bisa memberikan pertolongan kepada majikannya, Toki lalu lari ke rumah"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Anjing itu mencari orang tua Seruni yang ternyata baru tiba di rumah dari keperluannya di desa tetangga
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Toki menggonggong ke arah orang tua Seruni layaknya ingin memberi tahu bahwa anak perempuan mereka dalam bahaya
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Anjing itu menggonggong sembari berjalan mondar-mandir mengajak orangtua Seruni ke suatu tempat
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Pasangan suami istri itu mulai menyadari ada hal yang tidak beres karena Toki tidak bersama Seruni dan hari sudah semakin gelap
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Ayah dan ibu Seruni kemudian meminta bantuan tetangga mereka untuk mencari Seruni
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Tak menunggu terlalu lama, para tetangga berkumpul di halaman rumah orang tua Seruni sambil membawa obor"
Batu Gantung Danau Toba,Sumatera Utara,Toki,Mereka lalu mengikuti Toki yang berlari menuju ke arah ladang
Batu Gantung Danau Toba,Sumatera Utara,Toki,Toki menggonggong sambil menggerakkan moncongnya ke arah lubang
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Ketika orangtua Seruni mendekati mulut lubang, terdengar suara wanita berkata “Parapat! Tolong parapat batu! Parapat!”"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"“Pak, itukan suara Seruni!” ucap sang istri"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Ayah Seruni mengiyakan ucapan istrinya
Batu Gantung Danau Toba,Sumatera Utara,Seruni,” ujar ayah Seruni
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Orangtua Seruni merasa khawatir dengan keadaan anak mereka satu-satunya
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Sementara itu, para tetangga Seruni berusaha mencari cara bagaimana mengeluarkan Seruni dari dalam lubang"
Batu Gantung Danau Toba,Sumatera Utara,seruni,Ayah seruni mendekatkan obor miliknya ke mulut lubang dan memanggil anaknya
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Namun, Seruni hanya membalas panggilan ayahnya dengan mengucapkan kata “parapat” berkali-kali"
Batu Gantung Danau Toba,Sumatera Utara,Sang,Sang ayah lalu meminta istrinya untuk memegang obornya
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Ayah Seruni yang sudah bersiap untuk meloncat ke dalam lubang dicegah oleh istrinya
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Lubang batu tempat Seruni terperangkap tiba-tiba menutup sendiri
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Orang tua Seruni dan para tetangganya berlari ke sana ke mari untuk menyelamatkan diri
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Di tengah kekacauan itu, tak ada orang yang ingat untuk menyelamatkan Seruni"
Batu Gantung Danau Toba,Sumatera Utara,Seruni,Kematian Seruni pun tak bisa dielakkan lagi
Batu Gantung Danau Toba,Sumatera Utara,Seruni,"Konon, batu itu merupakan penjelmaan dari Seruni"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Anak laki-laki itu bernama Sampuraga
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"Suatu hari, di bawah pohon rindang Sampuraga dan juga majikannya beristirahat sembari menikmati makan siang dan berbincang-bincang setelahnya mereka bekerja dari pagi"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"’’Sampuraga, usiamu masih muda"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,“yang Tuan maksud itu negeri mana?” Sampuraga penasaran
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"Ucap Sampuraga “sungguh-sungguh begitu mulia cita-citamu, Sampuraga! Memang kamu anak yang berbakti”"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"Setelahnya ia berbincang seperti itu dengan majikannya, Sampuraga pun pulang dan mengutarakan keinginannya kepada sang ibu"
Sampuraga Si Anak Durhaka,Sumatera Utara,Ibu,Ibunya bertanya
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"“Aku akan pergi ke Negeri Mandailing bu, majikanku tadi bilang kalau negeri disana penduduknya hidup makmur dan sejahtera karena tanahnya yang begitu subur” jelas Sampuraga"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Sampuraga meminta restu
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"Esok harinya,Sampuraga siap untuk berangkat dan berpamitan kepada ibunya"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Sampuraga pun berpamitan sambil mencium tangan ibunya dengan hati yang sangat haru
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Air mata pun keluar dari kelopak mata sang ibu begitu pun dengan Sampuraga
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"Sampuraga merangkul ibunya, begitupun ibu membalas denganpelukan erat dan berkata: “Sudahlah anakku"" jika tuhan menghendaki pasti kita akan bertemu kembali”"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Sampuraga pun pergi meninggalkan ibunya
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"Sampuraga pun mencoba melamar pekerjaan disana, dan lamaran pertamanya pun langsung di terima oleh raja Sirambas"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sang,"Sang raja sangat percaya kepadanya, karena ia anak yang begitu jujur juga rajin bekerja"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sang,Sang raja sudah beberapa kali menguji kejujurannya ternyata memang ia begitu jujur
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"“Sampuraga, engkau adalah anak yang begitu baik juga rajin"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sang,Sang raja bertanya
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"Ibu Sampuraga meneruskan hidupnya dengan mencari kayu bakar, untuk bisa menghidupi dirinya, tapi kerinduannya kepada Sampuraga yang semakin hari semakin tak tertahankan membuatnya sering sakit-sakitan"
Sampuraga Si Anak Durhaka,Sumatera Utara,Ibu,Suatu hari Ibunya memutuskan untuk menyusul anaknya ke Mandailing meskipun tak tahu dimana anaknya itu tinggal karena memang belum pernah memberikan kabar apalagi mengenai rencana pernikahannya
Sampuraga Si Anak Durhaka,Sumatera Utara,Sang,Sang ibu pun mendekat dengan langkah terseok-seok
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Tiba-tiba sang ibu pun mendatangi Bagas Godang di tempat Sampuraga itu bersanding sambil berteriak: “Sampuragaaaa
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Sampuraga terkejut mendengar namanya itu
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Dengan tiba-tiba sang ibu lari mendekati Sampuraga dan berkata: “anakku Sampuraga! ini ibu nak
Sampuraga Si Anak Durhaka,Sumatera Utara,Sang,Sang ibu mengulurkan tangan hendak memeluk anaknya itu
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"Sampuraga pun serasa di sambar petir ketika ia melihat ibunya itu, ia malu kepada istrinya dan juga kepada para undangan"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Sampuraga membentaknya
Sampuraga Si Anak Durhaka,Sumatera Utara,sampuraga,"“sampuragaaaa, ini ibumu yang telah melahirkan dan membesarkanmu nak1 Kenapa kau lupa sama ibu? ibu sangat merindukanmu"
Sampuraga Si Anak Durhaka,Sumatera Utara,sampuraga,perintah sampuraga
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Hati Sampuraga benar-benar sudah tertutup
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,"Sang ibu pun di seret keluar oleh kedua pengawal sambil berderai air mata sang ibupun berdoa:
“Ya Tuhan, jika ia benar Sampuraga, berilah ia pelajaran ! karena ia telah mengingkari ibu kandungnya sendiri!”"
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Dalam waktu yang singkat tempat diadakannya pesta itu tenggelam tak seorang pun selamat termasuk Sampuraga juga istrinya
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Bentuk itu di percaya jelmaan dari upacara pernikahan Sampuraga yang terkena kutukan
Sampuraga Si Anak Durhaka,Sumatera Utara,Sampuraga,Kemudian tempat itu diberikan nama “Kolam Sampuraga” oleh masyarakat setempat yang letaknya berada di desa Sirambas dekat dari pusat kota Panyabungan
Si Buyung Besar,Sumatera Utara,si Buyung Besar,Mereka bercocok tanam dan mempunyai seorang anak yang diberi nama si Buyung Besar
Si Buyung Besar,Sumatera Utara,si Buyung Besar,"Sambil menetak-netakkan kapaknya, si Buyung Besar bernyanyi dan lucu kedengarannya"
Si Buyung Besar,Sumatera Utara,Buyung Besar,"""Apa arti nyanyianmu itu Buyung Besar?"" kata ayahnya"
Si Buyung Besar,Sumatera Utara,Sang,""" Sang anak tidak mendengarakan kata-kata ayahnya dan terus menetakkan kapaknya sambil menyanyi"
Si Buyung Besar,Sumatera Utara,Si,Si anak pun turun lalu pergi makan bersama dengan orang tuanya
Si Buyung Besar,Sumatera Utara,si Buyung Besar,""" Sang suami berniat menyerahkan si anak kepada Datuk Penghulu agar dibimbingnya si Buyung Besar, karena menurut dia Datuk Penghuklulah yang mampu membimbingnya"
Si Buyung Besar,Sumatera Utara,Datuk Penghulu,"Dalam waktu dua tiga hari, si anak diserahkan mereka kepada Datuk Penghulu"
Si Buyung Besar,Sumatera Utara,si Buyung Besar,Datuk Penghulu tidak keberatan dan berjanji akan mendidik si Buyung Besar dengan baik
Si Buyung Besar,Sumatera Utara,Datuk Penghulu,Kemudian mereka permisi pulang sedang si anak tinggal bersama Datuk Penghulu
Si Buyung Besar,Sumatera Utara,si Buyung Besar,"Setelah beberapa tahun berselang si Buyung Besar pun telah dewasa, perangainya telah jauh berobah"
Si Buyung Besar,Sumatera Utara,si Buyung Besar,"Pada suatu hari Datuk Penghulu menanyakan maksud nyanyian itu kepada si Buyung Besar, apa maksudnya"
Si Buyung Besar,Sumatera Utara,Buyung Besar,""" Buyung Besar menjelaskan bahwa ia tak tahu artinya dan menyatakan bahwa itulah nyanyiannya setiap hari"
Si Buyung Besar,Sumatera Utara,si Buyung Besar,Kemudian Datuk Penghulu menanyakan apakah si Buyung Besar mau berniaga keluar negeri
Si Buyung Besar,Sumatera Utara,Si Buyung Besar,Si Buyung Besar menurut saja segala keinginan Datuk Penghulu
Si Buyung Besar,Sumatera Utara,Buyung,Tetapi si Buyung meminta dibuatkan sebuah kapal untuk dibawa berlayar
Si Buyung Besar,Sumatera Utara,Datuk Penghulu,Datuk Penghulu bersedia membuatkan sebuah kapal
Si Buyung Besar,Sumatera Utara,si Buyung Besar,"sebelum berangkat, malamnya si Buyung Besar lebih dahulu pamit kepada ayah-bundanya untuk menyatakan maksud keberangkatannya serta meminta doa restu keselamatannya selama berlayar"
Si Buyung Besar,Sumatera Utara,Datuk Penghulu,"Malamnya setelah minta izin dari Datuk Penghulu, kapal yang berisi buah kelapa itu pun berangkatlah bersama para pembantunya"
Si Buyung Besar,Sumatera Utara,si Buyung Besar,Suatu hari berkatalah awak kapal kepada si Buyung Besar seraya menunjukkan sebuah pulau
Si Buyung Besar,Sumatera Utara,Buyung Besar,Buyung Besar memerintahkan agar kapal ditujukkan ke sana
Si Buyung Besar,Sumatera Utara,Buyung Besar,Buyung Besar berkata kepada penduduk negeri itu
Si Buyung Besar,Sumatera Utara,si Buyung Besar,Seluruh sabut-sabut dan tempurung kelapa telah diisikan kembali ke dalam kapal si Buyung Besar
Si Buyung Besar,Sumatera Utara,si Buyung Besar,Penduduk kampung itu tak lupa mengucapkan terima kasih kepada si Buyung Besar atas kebaikan hatinya itu seraya memohon agar dibawakan kembali buah kelapa yang lain kalau masih ada
Si Buyung Besar,Sumatera Utara,Datuk Penghulu,mendengar dentuman itu Datuk Penghulu segera menjumapinya ke tambatan kapal seraya menanyakan kabar Buyung Besar
Si Buyung Besar,Sumatera Utara,Buyung Besar,"Buyung Besar menjelaskan kabar baik serta memberitahu bahwa hasil dagangannya itu ""pulang pokok saja"
Si Buyung Besar,Sumatera Utara,si Buyung Besar,""" Datuk Penghulu tidak ambil pusing walaupun si Buyung Besar yang dimodalinya itu kembali tanpa untung"
Si Buyung Besar,Sumatera Utara,si Buyung Besar,Dengan seizin Datuk Penghulu si Buyung Besar pergi menemui ayah-bundanya untuk melepaskan rindu hati yang sudah berbulan-bulan berpisah tetapi hanya satu hari saja
Si Buyung Besar,Sumatera Utara,Buyung Besar,Disana Buyung Besar menceritakan pengalamannya selama enam bulan itu di laut serta menjelaskan bahwa daganagnnya hanyapulang pokok saja adanya
Si Buyung Besar,Sumatera Utara,Datuk Penghulu,Besok paginya ia berangkat menuju rumah Datuk Penghulu setelah pamit dari kedua orang tuanya
Si Buyung Besar,Sumatera Utara,Datuk Penghulu,"Ditempat Datuk Penghulu, Buyung Besar menanyakan tentang muatan kapal itu"
Si Buyung Besar,Sumatera Utara,si Buyung Besar,Tetapi si Buyung Besar menyerahkan kebijaksanaan selnjutnya kepada Datuk
Si Buyung Besar,Sumatera Utara,Buyung Besar,"Segera isi kapal dibersihakn, dikeluarkan dari dalam kapal serta-merta menanyakan apakah Buyung Besar ingin lagi berlayar"
Si Buyung Besar,Sumatera Utara,Buyung,Buyung mengiakan dengan syarat kalau ada modal lagi dia menyanggupinya
Si Buyung Besar,Sumatera Utara,Datuk Penghulu,"Mereka itu tak mau lagi karena tidak mendapat gaji dari Datuk Penghulu, Buyung Besar akan berangkat"
Si Buyung Besar,Sumatera Utara,Datuk Penghulu,Disanalah ia tidur malam itu dan baru pagi harinya minta izin dari Datuk Penghulu
Si Buyung Besar,Sumatera Utara,Datuk,Dan Datuk memerintahkan kepada pembantunya agar patuh kepada perintahnya
Si Buyung Besar,Sumatera Utara,Bayung Besar,Malam itu Bayung Besar bersama pembantu-pembantunya berangkat menuju lautan dengan barang dagangan padi
Si Buyung Besar,Sumatera Utara,Buyung Besar,Akhirnya mereka sampai pada sebuah negeri lain (bukannya persinggahan semula) Buyung Besar berkata
Si Buyung Besar,Sumatera Utara,Buyung Besar,""" Penduduk negeri itu menanyakan akan diri Buyung Besar tentang tujuan mereka datang di temapt itu"
Si Buyung Besar,Sumatera Utara,Buyung Besar,Setelah dua bulan berlangsung selesailah pekerjaan menumbuk padi itu dan kulitnya pun telah masuk ke dalam kapal Buyung Besar yang baik hati
Si Buyung Besar,Sumatera Utara,Buyung Besar,Mereka mengharapkan Buyung Besar kembali membawa dagangan serupa itu dengan mengucapkan terima kasih atas kebaikan hati itu
Si Buyung Besar,Sumatera Utara,si Buyung Besar,"""Alangkah bodohnya dan bencinya aku melihat tingkah si Buyung Besar ini"
Si Buyung Besar,Sumatera Utara,si Buyung Besar,"Mati aku melihat kebodohan si Buyung Besar ini,"" begitlah mereka mengeluh melihat tindakan si Buyung Besar ini"
